goodreads_book_id,title,authors,language_code,original_publication_year
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George_R.R._Martin,eng,1996
19501,"Eat, Pray, Love",Elizabeth_Gilbert,eng,2006
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick_Riordan,eng,2005
1934,"Little Women (Little Women, #1)",Louisa_May_Alcott,eng,1868
10210,Jane Eyre,Charlotte_Brontë,eng,1847
15931,"The Notebook (The Notebook, #1)",Nicholas_Sparks,eng,1996
4214,Life of Pi,Yann_Martel,,2001
43641,Water for Elephants,Sara_Gruen,eng,2006
19063,The Book Thief,Markus_Zusak,eng,2005
4381,Fahrenheit 451,Ray_Bradbury,spa,1953
49041,"New Moon (Twilight, #2)",Stephenie_Meyer,eng,2006
30119,Where the Sidewalk Ends,Shel_Silverstein,eng,1974
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra_Clare,eng,2007
428263,"Eclipse (Twilight, #3)",Stephenie_Meyer,eng,2007
113436,"Eragon (The Inheritance Cycle, #1)",Christopher_Paolini,eng,2002
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas_Adams,eng,1979
5129,Brave New World,Aldous_Huxley,eng,1932
1162543,"Breaking Dawn (Twilight, #4)",Stephenie_Meyer,eng,2008
37435,The Secret Life of Bees,Sue_Monk_Kidd,eng,2001
2956,The Adventures of Huckleberry Finn,Mark_Twain,eng,1884
24178,Charlotte's Web,E.B._White,eng,1952
1618,The Curious Incident of the Dog in the Night-Time,Mark_Haddon,eng,2003
22557272,The Girl on the Train,Paula_Hawkins,eng,2015
119322,"The Golden Compass (His Dark Materials, #1)",Philip_Pullman,eng,1995
6185,Wuthering Heights,Emily_Brontë,eng,1847
10917,My Sister's Keeper,Jodi_Picoult,eng,2004
4981,Slaughterhouse-Five,Kurt_Vonnegut_Jr.,eng,1969
18405,Gone with the Wind,Margaret_Mitchell,eng,1936
128029,A Thousand Splendid Suns,Khaled_Hosseini,eng,2007
22628,The Perks of Being a Wallflower,Stephen_Chbosky,eng,1999
11735983,"Insurgent (Divergent, #2)",Veronica_Roth,eng,2012
375802,"Ender's Game (Ender's Saga, #1)",Orson_Scott_Card,eng,1985
18490,Frankenstein,Mary_Wollstonecraft_Shelley,eng,1818
11588,The Shining (The Shining #1),Stephen_King,eng,1977
1656001,"The Host (The Host, #1)",Stephenie_Meyer,eng,2008
99561,Looking for Alaska,John_Green,eng,2005
227443,"Bridget Jones's Diary (Bridget Jones, #1)",Helen_Fielding,eng,1996
14935,Sense and Sensibility,Jane_Austen,eng,1811
38709,"Holes (Holes, #1)",Louis_Sachar,eng,1998
5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren_Weisberger,eng,2003
1381,The Odyssey,Homer,eng,-720
157993,The Little Prince,Antoine_de_Saint-Exupéry,eng,1946
7445,The Glass Castle,Jeannette_Walls,eng,2005
1845,Into the Wild,Jon_Krakauer,eng,1996
1953,A Tale of Two Cities,Charles_Dickens,eng,1859
7677,"Jurassic Park (Jurassic Park, #1)",Michael_Crichton,spa,1990
370493,The Giving Tree,Shel_Silverstein,eng,1964
32542,A Time to Kill,John_Grisham,eng,1989
1617,Night (The Night Trilogy #1),Elie_Wiesel,eng,1958
6442769,Paper Towns,John_Green,eng,2008
21787,The Princess Bride ,William_Goldman,eng,1973
231804,The Outsiders,S.E._Hinton,eng,1967
6186357,"The Maze Runner (Maze Runner, #1)",James_Dashner,eng,2009
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Steven_D._Levitt,eng,2005
2998,The Secret Garden,Frances_Hodgson_Burnett,eng,1911
320,One Hundred Years of Solitude,Gabriel_García_Márquez,eng,1967
5297,The Picture of Dorian Gray,Oscar_Wilde,eng,1891
13536860,"Fifty Shades Freed (Fifty Shades, #3)",E.L._James,eng,2012
17245,Dracula,Bram_Stoker,eng,1897
5060378,"The Girl Who Played with Fire (Millennium, #2)",Stieg_Larsson,eng,2006
11857408,"Fifty Shades Darker (Fifty Shades, #2)",E.L._James,eng,2011
7244,The Poisonwood Bible,Barbara_Kingsolver,eng,1998
4137,Me Talk Pretty One Day,David_Sedaris,eng,2000
19543,Where the Wild Things Are,Maurice_Sendak,eng,1963
7126,The Count of Monte Cristo,Alexandre_Dumas,eng,1844
6288,The Road,Cormac_McCarthy,eng,2006
18710190,"Allegiant (Divergent, #3)",Veronica_Roth,eng,2013
9418327,Bossypants,Tina_Fey,eng,2011
3473,A Walk to Remember,Nicholas_Sparks,eng,1999
9416,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie_Kinsella,eng,2000
24280,Les Misérables,Victor_Hugo,eng,1862
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George_R.R._Martin,eng,1998
10441,The Memory Keeper's Daughter,Kim_Edwards,eng,2005
15507958,"Me Before You (Me Before You, #1)",Jojo_Moyes,eng,2012
168668,Catch-22,Joseph_Heller,eng,1961
6900,Tuesdays with Morrie,Mitch_Albom,eng,1997
2187,Middlesex,Jeffrey_Eugenides,eng,2002
24583,The Adventures of Tom Sawyer,Mark_Twain,eng,1876
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine_L'Engle,eng,1962
7763,The Joy Luck Club,Amy_Tan,eng,1989
38447,The Handmaid's Tale,Margaret_Atwood,eng,1985
452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann_Brashares,eng,2001
7604,Lolita,Vladimir_Nabokov,eng,1955
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory_Maguire,eng,1995
5358,"The Firm (Penguin Readers, Level 5)",John_Grisham,eng,1991
7937843,Room,Emma_Donoghue,eng,2010
1420,Hamlet,William_Shakespeare,eng,1600
234225,Dune (Dune Chronicles #1),Frank_Herbert,eng,1965
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm_Gladwell,eng,2000
11084145,Steve Jobs,Walter_Isaacson,eng,2011
332613,One Flew Over the Cuckoo's Nest,Ken_Kesey,eng,1962
2165,The Old Man and the Sea,Ernest_Hemingway,eng,1952
4395,The Grapes of Wrath,John_Steinbeck,eng,1939
3431,The Five People You Meet in Heaven,Mitch_Albom,,2003
8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M._Montgomery,eng,1908
3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra_Clare,eng,2009
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George_R.R._Martin,eng,2000
137791,Divine Secrets of the Ya-Ya Sisterhood,Rebecca_Wells,eng,1996
10964,"Outlander (Outlander, #1)",Diana_Gabaldon,eng,1991
12296,The Scarlet Letter,Nathaniel_Hawthorne,eng,1850
9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom_Riggs,eng,2011
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg_Larsson,eng,2007
18007564,The Martian,Andy_Weir,eng,2012
5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken_Follett,eng,1989
18143977,All the Light We Cannot See,Anthony_Doerr,eng,2014
8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura_Hillenbrand,eng,2010
976,Deception Point,Dan_Brown,eng,2001
17333223,The Goldfinch,Donna_Tartt,eng,2013
1217100,Thirteen Reasons Why,Jay_Asher,eng,2007
2865,Girl with a Pearl Earring,Tracy_Chevalier,eng,1999
4374400,"If I Stay (If I Stay, #1)",Gayle_Forman,eng,2009
4989,The Red Tent,Anita_Diamant,eng,1997
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick_Riordan,eng,2006
5526,Dear John,Nicholas_Sparks,eng,2006
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra_Clare,eng,2008
8852,Macbeth,William_Shakespeare,eng,1606
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R._Tolkien,eng,1954
42156,"Something Borrowed (Darcy & Rachel, #1)",Emily_Giffin,eng,2004
23772,Green Eggs and Ham,Dr._Seuss,eng,1960
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald_Dahl,eng,1964
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick_Riordan,eng,2008
2623,Great Expectations,Charles_Dickens,eng,1860
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R._Tolkien,eng,1955
49552,The Stranger,Albert_Camus,eng,1942
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick_Riordan,eng,2010
15745753,Eleanor & Park,Rainbow_Rowell,eng,2013
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George_R.R._Martin,eng,2005
7735333,"Matched (Matched, #1)",Ally_Condie,eng,2010
4407,"American Gods (American Gods, #1)",Neil_Gaiman,eng,2001
149267,The Stand,Stephen_King,eng,1978
6400090,The Last Song,Nicholas_Sparks,eng,2008
11125,Digital Fortress,Dan_Brown,eng,1998
6969,Emma,Jane_Austen,eng,1815
15823480,Anna Karenina,Leo_Tolstoy,eng,1877
227463,A Clockwork Orange,Anthony_Burgess,eng,1962
1812457,The Shack,William_Paul_Young,eng,2007
4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick_Riordan,eng,2009
18342,It,Stephen_King,eng,1986
7144,Crime and Punishment,Fyodor_Dostoyevsky,eng,1866
6514,The Bell Jar,Sylvia_Plath,eng,1963
252577,"Angela's Ashes (Frank McCourt, #1)",Frank_McCourt,eng,1996
52036,Siddhartha,Hermann_Hesse,eng,1922
168642,In Cold Blood,Truman_Capote,eng,1965
6304335,"Beautiful Creatures (Caster Chronicles, #1)",Kami_Garcia,eng,2009
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra_Clare,eng,2010
39988,Matilda,Roald_Dahl,eng,1988
9361589,The Night Circus,Erin_Morgenstern,eng,2011
37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa_Gregory,eng,2001
24770,"Uglies (Uglies, #1)",Scott_Westerfeld,eng,2005
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George_R.R._Martin,eng,2011
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R._Tolkien,eng,1955
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl_Strayed,eng,2012
472331,Watchmen,Alan_Moore,eng,1987
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick_Rothfuss,eng,2007
3228917,Outliers: The Story of Success,Malcolm_Gladwell,eng,2008
153747,"Moby-Dick or, The Whale",Herman_Melville,eng,1851
2728527,The Guernsey Literary and Potato Peel Pie Society,Mary_Ann_Shaffer,eng,2008
5759,Fight Club,Chuck_Palahniuk,eng,1996
301082,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine_Harris,eng,2001
11486,The Color Purple,Alice_Walker,eng,1982
12691,Marley and Me: Life and Love With the World's Worst Dog,John_Grogan,eng,2005
16299,And Then There Were None,Agatha_Christie,eng,1939
6411961,"The Lost Symbol (Robert Langdon, #3)",Dan_Brown,eng,2009
6339664,"Hush, Hush (Hush, Hush, #1)",Becca_Fitzpatrick,eng,2009
11505797,"Beautiful Disaster (Beautiful, #1)",Jamie_McGuire,eng,2011
5326,A Christmas Carol,Charles_Dickens,,1843
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne_Rice,eng,1976
10507293,"The Selection (The Selection, #1)",Kiera_Cass,eng,2012
6853,"One for the Money (Stephanie Plum, #1)",Janet_Evanovich,eng,1994
6493208,The Immortal Life of Henrietta Lacks,Rebecca_Skloot,eng,2010
23807,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas_Harris,eng,1988
345627,"Vampire Academy (Vampire Academy, #1)",Richelle_Mead,eng,2007
40102,Blink: The Power of Thinking Without Thinking,Malcolm_Gladwell,eng,2005
6867,Atonement,Ian_McEwan,eng,2001
485894,The Metamorphosis,Franz_Kafka,eng,1915
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick_Riordan,eng,2007
9969571,Ready Player One,Ernest_Cline,eng,2011
3153910,The Art of Racing in the Rain,Garth_Stein,eng,2006
21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik_Larson,eng,2003
13572249,"Bared to You (Crossfire, #1)",Sylvia_Day,eng,2012
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S._Lewis,eng,1956
3609760,Twilight: The Complete Illustrated Movie Companion,Mark_Cotta_Vaz,eng,
60748,"A Child Called ""It"" (Dave Pelzer #1)",Dave_Pelzer,eng,1995
7869,"The Bourne Identity (Jason Bourne, #1)",Robert_Ludlum,eng,1980
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin_Colfer,eng,2001
6487308,"Fallen (Fallen, #1)",Lauren_Kate,eng,2009
4406,East of Eden,John_Steinbeck,eng,1952
5886881,Dark Places,Gillian_Flynn,eng,2009
5359,The Client,John_Grisham,eng,1993
228333,"The Nanny Diaries (Nanny, #1)",Emma_McLaughlin,eng,2002
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis_Carroll,eng,1865
2156,Persuasion,Jane_Austen,eng,1817
556602,Sarah's Key,Tatiana_de_Rosnay,eng,2007
43615,"The Gunslinger (The Dark Tower, #1)",Stephen_King,eng,1982
9712,Love in the Time of Cholera,Gabriel_García_Márquez,eng,1985
439288,Speak,Laurie_Halse_Anderson,eng,1999
17802724,The Husband's Secret,Liane_Moriarty,eng,2013
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon_Krakauer,eng,1997
10592,Carrie,Stephen_King,,1974
242006,Running with Scissors,Augusten_Burroughs,eng,2002
8908,World War Z: An Oral History of the Zombie War,Max_Brooks,eng,2006
17212231,"Inferno (Robert Langdon, #4)",Dan_Brown,eng,2013
47281,Number the Stars,Lois_Lowry,eng,1989
13145,"Along Came a Spider (Alex Cross, #1)",James_Patterson,eng,1993
10614,Misery,Stephen_King,eng,1987
66559,Sharp Objects,Gillian_Flynn,eng,2006
2839,Bridge to Terabithia,Katherine_Paterson,eng,1977
30183,"Marked (House of Night, #1)",P.C._Cast,eng,2007
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen_R._Covey,eng,1989
1622,A Midsummer Night's Dream,William_Shakespeare,eng,1595
4588,Extremely Loud and Incredibly Close,Jonathan_Safran_Foer,eng,2005
11387515,Wonder,R.J._Palacio,eng,2012
233093,The Cat in the Hat,Dr._Seuss,eng,1957
11235712,"Cinder (The Lunar Chronicles, #1)",Marissa_Meyer,eng,2012
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert_Galbraith,eng,2013
6068551,"Shiver (The Wolves of Mercy Falls, #1)",Maggie_Stiefvater,eng,2009
662,Atlas Shrugged,Ayn_Rand,eng,1957
49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg_Mortenson,eng,2006
13023,Alice in Wonderland,Jane_Carruth,eng,1865
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",Carlos_Ruiz_Zafón,eng,2001
7631105,"The Scorch Trials (Maze Runner, #2)",James_Dashner,eng,2010
4865,How to Win Friends and Influence People,Dale_Carnegie,eng,1936
480479,Under the Tuscan Sun,Frances_Mayes,eng,1996
19486412,Big Little Lies,Liane_Moriarty,eng,2014
24337,Ella Enchanted,Gail_Carson_Levine,eng,1997
3876,The Sun Also Rises,Ernest_Hemingway,eng,1926
14891,A Tree Grows in Brooklyn,Betty__Smith,eng,1943
13148,"Kiss the Girls (Alex Cross, #2)",James_Patterson,eng,1995
21853621,The Nightingale,Kristin_Hannah,eng,2015
6334,Never Let Me Go,Kazuo_Ishiguro,eng,2005
366522,P.S. I Love You,Cecelia_Ahern,eng,2003
12873,Rebecca,Daphne_du_Maurier,eng,1938
18373,Flowers for Algernon,Daniel_Keyes,eng,1966
6952,Like Water for Chocolate,Laura_Esquivel,eng,1989
1103,Snow Flower and the Secret Fan,Lisa_See,eng,2005
22034,The Godfather,Mario_Puzo,eng,1969
49750,An Abundance of Katherines,John_Green,eng,2006
29579,Foundation (Foundation #1),Isaac_Asimov,eng,1951
15783514,The Ocean at the End of the Lane,Neil_Gaiman,eng,2013
30118,A Light in the Attic,Shel_Silverstein,eng,1981
29056083,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",John_Tiffany,eng,2016
11614718,"Delirium (Delirium, #1)",Lauren_Oliver,eng,2011
32499,The Pelican Brief,John_Grisham,eng,1992
17061,Coraline,Neil_Gaiman,eng,2002
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry_Pratchett,eng,1990
70401,On the Road,Jack_Kerouac,eng,1955
16181775,"The Rosie Project (Don Tillman, #1)",Graeme_Simsion,eng,2013
3063499,The Lucky One,Nicholas_Sparks,eng,2008
2122,The Fountainhead,Ayn_Rand,eng,1943
19691,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom_Clancy,,1984
76620,"Watership Down (Watership Down, #1)",Richard_Adams,eng,1972
10335308,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy_Kaling,eng,2011
3591262,Cutting for Stone,Abraham_Verghese,eng,2009
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S._Lewis,eng,1951
295,Treasure Island,Robert_Louis_Stevenson,eng,1882
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick_Riordan,eng,2011
10644930,11/22/63,Stephen_King,eng,2011
4948,The Very Hungry Caterpillar Board Book,Eric_Carle,eng,1969
135479,Cat's Cradle,Kurt_Vonnegut_Jr.,eng,1963
2493,The Time Machine,H.G._Wells,eng,1895
7933292,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd_Burpo,eng,2010
39999,The Boy in the Striped Pajamas,John_Boyne,eng,2006
4900,Heart of Darkness,Joseph_Conrad,eng,1899
7812659,Safe Haven,Nicholas_Sparks,eng,2010
52529,"The Secret (The Secret, #1)",Rhonda_Byrne,eng,2006
227711,I Know This Much Is True,Wally_Lamb,eng,1998
10583,Pet Sematary,Stephen_King,eng,1983
5203,She's Come Undone,Wally_Lamb,eng,1992
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick_Rothfuss,eng,2011
33724,Can You Keep a Secret?,Sophie_Kinsella,eng,2003
6752378,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra_Clare,eng,2011
14748,"Good in Bed (Cannie Shapiro, #1)",Jennifer_Weiner,eng,2001
3412,The Thorn Birds,Colleen_McCullough,eng,1977
2213661,The Graveyard Book,Neil_Gaiman,eng,2008
13158800,The Light Between Oceans,M.L._Stedman,eng,2012
28194,"Inkheart (Inkworld, #1)",Cornelia_Funke,eng,2003
4894,Who Moved My Cheese?,Spencer_Johnson,eng,1998
9791,A Walk in the Woods,Bill_Bryson,eng,1997
13214,I Know Why the Caged Bird Sings,Maya_Angelou,eng,1969
15818107,Orphan Train,Christina_Baker_Kline,eng,2013
8755776,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra_Clare,eng,2012
13526165,"Where'd You Go, Bernadette",Maria_Semple,eng,2012
10365,Where the Red Fern Grows,Wilson_Rawls,,1961
14497,Neverwhere,Neil_Gaiman,eng,1996
9717,The Unbearable Lightness of Being,Milan_Kundera,eng,1984
16068905,Fangirl,Rainbow_Rowell,eng,2013
4473,A Prayer for Owen Meany,John_Irving,eng,1989
32234,White Oleander,Janet_Fitch,eng,1999
9275658,"Legend (Legend, #1)",Marie_Lu,eng,2011
14866,Nineteen Minutes,Jodi_Picoult,eng,2007
2318271,The Last Lecture,Randy_Pausch,eng,2008
228665,"The Eye of the World (Wheel of Time, #1)",Robert_Jordan,eng,1990
10916,The Pact,Jodi_Picoult,eng,1998
65605,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S._Lewis,eng,1953
2153405,Still Alice,Lisa_Genova,eng,2007
13596809,"Reflected in You (Crossfire, #2)",Sylvia_Day,eng,2012
6689,James and the Giant Peach,Roald_Dahl,eng,1961
13137,"1st to Die (Women's Murder Club, #1)",James_Patterson,eng,2001
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas_Adams,eng,1996
6280118,One Day,David_Nicholls,eng,2009
32929,Goodnight Moon,Margaret_Wise_Brown,eng,1947
7747374,"I Am Number Four (Lorien Legacies, #1)",Pittacus_Lore,eng,2010
1371,The Iliad,Homer,eng,-750
13497818,The Casual Vacancy,J.K._Rowling,eng,2012
24192,The Runaway Jury,John_Grisham,eng,1996
4138,Naked,David_Sedaris,eng,1997
45978,"Eldest (The Inheritance Cycle, #2)",Christopher_Paolini,eng,2005
236093,"The Wonderful Wizard of Oz (Oz, #1)",L._Frank_Baum,eng,1900
121749,"Prince Caspian (Chronicles of Narnia, #2)",C.S._Lewis,eng,1951
16143347,We Were Liars,E._Lockhart,eng,2014
11590,'Salem's Lot,Stephen_King,eng,1975
7745,Fear and Loathing in Las Vegas,Hunter_S._Thompson,eng,1971
10025305,"Clockwork Prince (The Infernal Devices, #2)",Cassandra_Clare,eng,2011
20910157,Yes Please,Amy_Poehler,eng,2014
12996,Othello,William_Shakespeare,eng,1603
6149,Beloved,Toni_Morrison,eng,1987
3236307,"Graceling (Graceling Realm, #1)",Kristin_Cashore,eng,2008
78411,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony_Snicket,eng,1999
355697,All Quiet on the Western Front,Erich_Maria_Remarque,eng,1929
191139,"Oh, The Places You'll Go!",Dr._Seuss,eng,1990
16115612,And the Mountains Echoed,Khaled_Hosseini,eng,2012
7082,Do Androids Dream of Electric Sheep?,Philip_K._Dick,eng,1968
18254,Oliver Twist,Charles_Dickens,eng,1838
11149,The Screwtape Letters,C.S._Lewis,eng,1942
6936382,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie_Perkins,eng,2010
113946,How the Grinch Stole Christmas!,Dr._Seuss,eng,1957
5805,V for Vendetta,Alan_Moore,eng,1990
2203,John Adams,David_McCullough,eng,2001
14995,"Odd Thomas (Odd Thomas, #1)",Dean_Koontz,eng,2003
119324,"The Subtle Knife (His Dark Materials, #2)",Philip_Pullman,eng,1997
22232,"Stargirl (Stargirl, #1)",Jerry_Spinelli,eng,2000
7090447,"The Red Pyramid (Kane Chronicles, #1)",Rick_Riordan,eng,2010
350,Stranger in a Strange Land,Robert_A._Heinlein,eng,1961
10176,Dress Your Family in Corduroy and Denim,David_Sedaris,eng,2004
6319,The BFG,Roald_Dahl,eng,1982
21,A Short History of Nearly Everything,Bill_Bryson,eng,2003
1852,The Call of the Wild,Jack_London,eng,1903
7864437,"The Death Cure (Maze Runner, #3)",James_Dashner,eng,2011
16793,Stardust,Neil_Gaiman,eng,1999
33917,The Namesake,Jhumpa_Lahiri,eng,2003
8667848,"A Discovery of Witches (All Souls Trilogy, #1)",Deborah_Harkness,eng,2011
11297,Norwegian Wood,Haruki_Murakami,eng,1987
5168,Where the Heart Is,Billie_Letts,eng,1995
6567017,"Will Grayson, Will Grayson",John_Green,eng,2010
1241,A Million Little Pieces,James_Frey,eng,2003
2282133,"Frostbite (Vampire Academy, #2)",Richelle_Mead,eng,2008
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan_Cain,eng,2012
233818,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",Scott_O'Dell,eng,1960
17250,The Crucible,Arthur_Miller,eng,1953
50,"Hatchet (Brian's Saga, #1)",Gary_Paulsen,eng,1986
68428,"The Final Empire (Mistborn, #1)",Brandon_Sanderson,eng,2006
51496,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert_Louis_Stevenson,eng,1886
7784,The Lorax,Dr._Seuss,eng,1971
389627,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff_Kinney,eng,2004
7896527,"Throne of Glass (Throne of Glass, #1)",Sarah_J._Maas,eng,2012
2802316,"Shadow Kiss (Vampire Academy, #3)",Richelle_Mead,eng,2008
46170,For Whom the Bell Tolls,Ernest_Hemingway,eng,1940
3367956,Hotel on the Corner of Bitter and Sweet,Jamie_Ford,eng,2009
343,Perfume: The Story of a Murderer,Patrick_Süskind,eng,1985
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric_Schlosser,eng,2001
3950967,The Tales of Beedle the Bard,J.K._Rowling,eng,2007
22328,Neuromancer,William_Gibson,eng,1984
10799,A Farewell to Arms,Ernest_Hemingway,eng,1929
391729,The Tell-Tale Heart and Other Writings,Edgar_Allan_Poe,eng,1843
10534,The Art of War,Sun_Tzu,eng,-500
11367726,Defending Jacob,William_Landay,eng,2012
4980,Breakfast of Champions,Kurt_Vonnegut_Jr.,eng,1973
627206,The New Drawing on the Right Side of the Brain,Betty_Edwards,eng,1979
5826,Bel Canto,Ann_Patchett,eng,2001
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared_Diamond,eng,1997
9375,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie_Flagg,,1987
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua_Achebe,eng,1958
33722,The Undomestic Goddess,Sophie_Kinsella,eng,2005
